L,R
Ifna2,Ifnar2
Ifna16,Ifnar2
Ifna9,Ifnar2
Ifna1,Ifnar2
Ifna14,Ifnar2
Ifna15,Ifnar2
Ifna5,Ifnar2
Ifnab,Ifnar2
Ifna11,Ifnar2
Ifna7,Ifnar2
Ifna6,Ifnar2
Il17c,Il17ra
Il17c,Il17re
Sema3a,Nrp1
Sema3a,Plxna1
Sema3a,Plxna2
Sema3a,Plxna3
Sema3a,Plxna4
Plxna1,Sema6d
Kdr,Sema6d
Trem2,Sema6d
Tyrobp,Sema6d
Angpt1,Tek
Angpt2,Tek
Angpt4,Tek
Inhba,Acvr1b
Inhba,Acvr2b
Inhba,Acvr2a
Inhba,Acvr1
Inhba,Acvr1c
Inhbb,Acvr1b
Inhbb,Acvr2b
Inhbb,Acvr2a
Inhbb,Acvr1
Inhbb,Acvr1c
Nodal,Acvr1b
Nodal,Acvr2b
Nodal,Tdgf1
Amh,Amhr2
Amh,Bmpr1a
Amh,Bmpr1b
Amh,Acvr1
Lefty1,Tdgf1
Lefty2,Tdgf1
Lefty1,Tdgf1
Lefty2,Tdgf1
Gdnf,Ret
Gdnf,Gfra1
Artn,Ret
Artn,Gfra1
Artn,Gfra3
Nrtn,Ret
Nrtn,Gfra2
Pspn,Ret
Pspn,Gfra4
Cx3cl1,Cx3cr1
Tnfsf4,Tnfrsf4
Xcl1,Xcr1
Xcl1,Xcr1
Cd200r1,Cd200
Cd200r3,Cd200
Cd200r4,Cd200
Cd200r2,Cd200
A2m,Lrp1
Ace,Bdkrb2
Adam10,Axl
Adam10,Epha3
Adam12,Itga9
Adam12,Itgb1
Adam12,Sdc4
Adam15,Itga5
Adam15,Itga9
Adam15,Itgav
Adam15,Itgb1
Adam15,Itgb3
Adam17,Erbb4
Adam17,Itga5
Adam17,Itgb1
Adam17,Notch1
Adam23,Itga5
Adam23,Itgb3
Adam28,Itga4
Adam2,Cd9
Adam2,Itga6
Adam2,Itga9
Adam2,Itgb1
Adam2,Itgb7
Adam9,Itga3
Adam9,Itga6
Adam9,Itgav
Adam9,Itgb1
Adam9,Itgb5
Adcyap1,Vipr1
Adcyap1,Vipr2
Adm2,Calcrl
Adm2,Ramp1
Adm,Calcrl
Adm,Gpr182
Adm,Ramp2
Agrn,Atp1a3
Agrn,Lrp4
Agrn,Musk
Agrp,Sdc3
Agt,Lrp2
Agt,Mas1
Ahsg,Insr
Alb,Lrp2
Amh,Egfr
Angpt1,Itga5
Angpt1,Tie1
Angptl1,Tek
Angptl3,Itga5
Angptl3,Itgav
Angptl3,Itgb3
Anxa1,Dysf
Anxa1,Egfr
Apob,Ldlr
Apob,Lrp2
Apob,Lsr
Apob,Olr1
Apod,Lepr
Apoe,Ldlr
Apoe,Lrp1
Apoe,Lrp2
Apoe,Lrp5
Apoe,Lrp8
Apoe,Scarb1
Apoe,Sorl1
Apoe,Vldlr
App,Cav1
App,Gpc1
App,Lrp1
App,Ncstn
App,Tnfrsf21
Areg,Erbb3
Arf1,Chrm3
Arf1,Insr
Arf1,Pld2
a,Atrn
a,F11r
a,Mc1r
a,Mc4r
Avp,Avpr2
Avp,Oxtr
Azgp1,Itgav
B2m,Hfe
Bgn,Tlr2
Bgn,Tlr4
Bmp10,Acvr2a
Bmp10,Bmpr1a
Bmp10,Bmpr1b
Bmp10,Eng
Bmp2,Acvr1
Bmp2,Eng
Bmp2,Hjv
Bmp7,Eng
Bst1,Cav1
Btc,Erbb2
Btla,Cd79a
Btla,Vtcn1
C1qa,Cd93
C1qa,Cr1l
C1qa,Cspg4
C1qb,Lrp1
C1qtnf1,Avpr2
C3,C5ar2
C3,Cd19
C3,Cd46
C3,Cr1l
C3,Itgax
C3,Lrp1
C4b,C3ar1
C4b,C5ar2
C4b,Cr1l
C4bp,Bmpr2
C4bp,Cd40
C4bp,Lrp1
C4b,Cd46
C4b,Cr1l
Calca,Calcrl
Calca,Ramp1
Calca,Ramp2
Calcb,Calcrl
Calcb,Ramp1
Calr,Itga2b
Calr,Itga3
Calr,Itgav
Calr,Lrp1
Calr,Scarf1
Calr,Tshr
Ccl11,Ackr4
Ccl11,Ccr5
Ccl11,Cxcr3
Ccl17,Ccr8
Ccl19,Ackr2
Ccl19,Ackr2
CR974586.2,Ackr2
CR974586.4,Ackr2
Ccl19,Ccr10
Ccl19,Ccr10
CR974586.2,Ccr10
CR974586.4,Ccr10
Gm13304,Ackr2
Ccl21d,Ackr2
Ccl21c,Ackr2
Ccl21a,Ackr2
Ccl21a,Ackr2
Ccl21b,Ackr2
Ccl21b,Ackr2
Gm10591,Ackr2
Ccl21b,Ackr2
Gm13304,Cxcr3
Ccl21d,Cxcr3
Ccl21c,Cxcr3
Ccl21a,Cxcr3
Ccl21a,Cxcr3
Ccl21b,Cxcr3
Ccl21b,Cxcr3
Gm10591,Cxcr3
Ccl21b,Cxcr3
Gm13306,Ackr2
Ccl27a,Ackr2
Ccl27a,Ackr2
Ccl27a,Ackr2
Ccl28,Ackr2
Ccl2,Ackr4
Ccl2,Ccr1
Ccl2,Ccr1l1
Ccl2,Ccr10
Ccl2,Ccr3
Ccl2,Ccr4
Ccl2,Ccr5
Ccl3,Ackr2
Ccl3,Ccr5
Ccl3,Ccr4
Ccl4,Ccr1
Ccl4,Ccr1l1
Ccl4,Ccr3
Ccl4,Ccr8
Ccl5,Ackr4
Ccl5,Ccr4
Ccl5,Cxcr3
Ccl5,Sdc1
Ccl5,Sdc4
Ccl7,Ackr4
Ccl7,Ccr10
Ccl7,Cxcr3
Ccl8,Ackr4
Ccl12,Ackr4
Cd14,Itga4
Cd14,Itgb1
Cd55,Cr1l
Cd55b,Cr1l
Cd5l,Cd5
Cdh1,Egfr
Cdh1,Igf1r
Cdh1,Ptprf
Cdh1,Ptprm
Cel,Cxcr4
Cga,Tshr
Cgn,F11r
Chad,Itga2
Chad,Itgb1
Clcf1,Crlf1
Cntf,Il6ra
Cntn2,Cntn1
Cntn2,Cntnap2
Cntn2,Nrcam
Cntn4,Ptprg
Col11a1,Ddr1
Col14a1,Cd44
Col18a1,Gpc1
Col18a1,Gpc4
Col18a1,Itga5
Col18a1,Kdr
Col1a1,Cd36
Col1a1,Cd44
Col1a1,Cd93
Col1a1,Ddr1
Col1a1,Ddr2
Col1a1,Itga5
Col1a1,Tmprss6
Col1a2,Cd36
Col1a2,Cd44
Col1a2,Cd93
Col1a2,Itga2b
Col1a2,Itgb3
Col2a1,Ddr1
Col2a1,Itga2b
Col2a1,Mag
Col3a1,Ddr1
Col3a1,Ddr2
Col3a1,Mag
Col4a1,Cd93
Col4a1,Itgav
Col4a1,Itgb8
Col4a2,Cd93
Col4a3,Cd47
Col4a3,Cd93
Col4a3,Itgav
Col4a4,Cd93
Col4a5,Cd93
Col4a6,Cd93
Col5a1,Sdc3
Col5a2,Ddr1
Col5a3,Sdc3
Col9a1,Mag
Col9a2,Mag
Colq,Musk
Cort,Mrgprb2
Cort,Mrgpra1
Cort,Mrgprb8
Cort,Mrgpra6
Cort,Mrgpra4
Cort,Mrgprb3
Cort,Mrgprb1
Cort,Mrgprb4
Cort,Mrgprb5
Cort,Mrgprx1
Cort,Mrgprx2
Cort,Mrgpra9
Cort,Mrgpra3
Cort,Mrgpra2a
Cort,Mrgpra2b
Cort,Sstr2
Cort,Sstr3
Cp,Slc40a1
Crh,Crhr1
Crh,Crhr1
Crp,Olr1
Csf2,Sdc2
Gh,Prlr
Gh,Gm21973
Gh,Prlr
Gh,Gm21973
Gh,Prlr
Gh,Gm21973
Ctf1,Il6st
Ctf1,Lifr
Cthrc1,Fzd3
Cthrc1,Fzd5
Cthrc1,Fzd6
Cubn,Lrp2
Cxcl10,Ccr3
Cxcl10,Sdc4
Cxcl11,Ccr3
Cxcl12,Cd4
Cxcl12,Itgb1
Cxcl13,Ccr10
Cxcl13,Cxcr3
Cxcl9,Ccr3
Ccn1,Itga5
Ccn1,Itgam
Ccn1,Gm49368
Ccn1,Itgav
Ccn1,Itgb2
Ccn1,Itgb3
Ccn1,Itgb5
Dcn,Egfr
Dcn,Erbb4
Dcn,Met
Dhh,Boc
Dhh,Cdon
Dhh,Hhip
Dhh,Ptch1
Dhh,Ptch2
Dkk1,Kremen1
Dkk1,Kremen2
Dkk1,Lrp5
Dkk1,Lrp6
Dkk2,Kremen2
Dkk2,Lrp6
Dlk1,Notch1
Dlk2,Notch1
Dll1,Notch1
Dll1,Notch3
Eda,Eda2r
Eda,Edar
Edil3,Itgav
Edn1,Ednra
Edn1,Ednrb
Edn1,Kel
Edn2,Ednrb
Edn2,Kel
Edn3,Ednra
Edn3,Ednrb
Edn3,Kel
Efemp1,Egfr
Efemp2,Aqp1
Efemp2,Catsper1
Efemp2,Lingo1
Efemp2,Plscr4
Efna1,Epha6
Efna1,Ephb1
Efna3,Epha1
Efna3,Epha2
Efna3,Epha3
Efna3,Epha4
Efna3,Epha5
Efna3,Epha6
Efna3,Epha8
Efna3,Ephb1
Efna4,Epha2
Efna4,Epha3
Efna4,Epha4
Efna4,Epha5
Efna4,Epha6
Efna4,Epha8
Efna5,Epha2
Efna5,Epha3
Efna5,Epha4
Efna5,Epha5
Efna5,Epha6
Efna5,Epha8
Efna5,Ephb1
Efna5,Ephb6
Efnb1,Ephb1
Efnb1,Ephb2
Efnb1,Ephb3
Efnb1,Ephb4
Efnb1,Ephb6
Efnb1,Erbb2
Efnb2,Epha3
Efnb2,Epha6
Efnb2,Ephb6
Efnb2,Grm1
Efnb2,Grm5
Efnb2,Pecam1
Efnb2,Rhbdl2
Efnb3,Rhbdl2
Egf,Erbb2
Egf,Erbb3
Egf,Erbb4
F10,F3
F11,Gp1ba
F12,Cd93
F12,Gp1ba
F13a1,Itga4
F13a1,Itga9
F13a1,Itgb1
F2,F2r
F2,F2rl1
F2,F2rl2
F2,F2rl3
F2,Gp9
F2,Thbd
F7,F3
F8,Asgr2
F8,Ldlr
F8,Lrp1
F9,Lrp1
Fat4,Dchs1
Fbln1,Itgb1
Fbln2,Itgb3
Fbn1,Itgav
Fbn1,Itgb3
Fga,Cdh5
Fga,Itga5
Fga,Itgav
Fga,Itgb1
Fgb,Itga5
Fgb,Itgav
Fgb,Itgb1
Fgf10,Fgfr2
Fgf17,Fgfr1
Fgf17,Fgfr2
Fgf17,Fgfr3
Fgf17,Fgfr4
Fgf18,Fgfr1
Fgf18,Fgfr2
Fgf18,Fgfr3
Fgf18,Fgfr4
Fgf15,Fgfr1
Fgf15,Fgfr2
Fgf15,Fgfr3
Fgf15,Fgfr4
Fgf15,Klb
Fgf1,Fgfr1
Fgf1,Fgfr2
Fgf1,Fgfr3
Fgf1,Fgfr4
Fgf1,Nrp1
Fgf20,Fgfr4
Fgf21,Fgfr4
Fgf22,Fgfr2
Fgf23,Fgfr1
Fgf23,Fgfr2
Fgf23,Fgfr3
Fgf23,Fgfr4
Fgf23,Phex
Fgf2,Cd44
Fgf2,Fgfr1
Fgf2,Fgfr2
Fgf2,Fgfr3
Fgf2,Fgfr4
Fgf2,Fgfrl1
Fgf2,Gpc4
Fgf2,Nrp1
Fgf2,Sdc1
Fgf2,Sdc2
Fgf2,Sdc3
Fgf2,Sdc4
Fgf4,Fgfr1
Fgf4,Fgfr2
Fgf4,Fgfr3
Fgf4,Fgfr4
Fgf4,Nrp1
Fgf5,Fgfr1
Fgf5,Fgfr2
Fgf5,Fgfr3
Fgf5,Fgfr4
Fgf7,Fgfr1
Fgf7,Fgfr2
Fgf7,Fgfr3
Fgf7,Fgfr4
Fgf7,Nrp1
Fgf8,Fgfr1
Fgf8,Fgfr2
Fgf8,Fgfr3
Fgf8,Fgfr4
Fgf9,Fgfr1
Fgf9,Fgfr2
Fgf9,Fgfr3
Fgf9,Fgfr4
Fgg,Itga5
Fgg,Itgav
Fgg,Itgb1
Fgl1,Egfr
Fn1,Cd44
Fn1,Col13a1
Fn1,Itga9
Fn1,Itgb6
Fn1,Itgb8
Fn1,Mag
Fn1,Nt5e
Fn1,Plaur
Fn1,Sdc2
Fn1,Tmprss6
Fn1,Tnfrsf11b
Fn1,Tshr
Gcg,Gcgr
Gcg,Glp1r
Gdf2,Acvr1
Gdf2,Acvr2a
Gdf2,Acvr2b
Gdf2,Eng
Gdf5,Acvr1
Gdf5,Ror2
Gdf9,Acvr2a
Gdf9,Bmpr1a
Gdf9,Bmpr1b
Gdf9,Fxyd6
Gdf9,Orai2
Gdnf,Gfra2
Ghrh,Ghrhr
Ghrl,Ghrhr
Ghrl,Gpr39
Gip,Gipr
Gnai2,Adcy1
Gnai2,Adora1
Gnai2,Adra2a
Gnai2,Adra2b
Gnai2,C5ar1
Gnai2,Cav1
Gnai2,Ccr5
Gnai2,Cnr1
Gnai2,Cxcr1
Gnai2,Cxcr2
Gnai2,Drd2
Gnai2,Ednra
Gnai2,Egfr
Gnai2,F2r
Gnai2,Fpr1
Gnai2,Igf1r
Gnai2,Lhcgr
Gnai2,Lpar3
Gnai2,Oprd1
Gnai2,Oprm1
Gnai2,P2ry12
Gnai2,Ptpru
Gnai2,Tbxa2r
Gnai2,Tshr
Gnas,Adora1
Gnas,Adrb3
Gnas,Avpr2
Gnas,Crhr1
Gnas,Crhr1
Gnas,Gcgr
Gnas,Lhcgr
Gnas,Ptgdr
Gnas,Ptgir
Gnas,Tshr
Gnas,Vipr1
Gnb3,Tgfbr1
Gpc3,Cd81
Gpc3,Igf1r
Gpha2,Tshr
Gpi1,Amfr
Grp,Brs3
Ucma,Brs3
Gstp2,Traf2
Gstp1,Traf2
Guca2a,Gucy2c
Guca2b,Gucy2c
Guca2b,Gucy2e
Gzmb,Chrm3
Gzmc,Chrm3
Gzmb,Igf2r
Gzmc,Igf2r
Has2,Cd44
Has2,Hmmr
Hbegf,Cd82
Hbegf,Cd9
Hbegf,Erbb2
Hcrt,Hcrtr2
Hcrt,Npffr2
Hgf,Sdc1
Hgf,Sdc2
Hgf,St14
H2-Q5,Klri2
H2-Q5,Clec2m
H2-Q5,Klre1
H2-Q5,Klri1
H2-Q5,Klrh1
H2-Bl,Klri2
H2-Bl,Clec2m
H2-Bl,Klre1
H2-Bl,Klri1
H2-Bl,Klrh1
H2-Q5,Klri2
H2-Q5,Clec2m
H2-Q5,Klre1
H2-Q5,Klri1
H2-Q5,Klrh1
H2-Bl,Klri2
H2-Bl,Clec2m
H2-Bl,Klre1
H2-Bl,Klri1
H2-Bl,Klrh1
H2-Q5,Klrd1
H2-Bl,Klrd1
H2-Q5,Klri2
H2-Q5,Clec2m
H2-Q5,Klre1
H2-Q5,Klri1
H2-Q5,Klrh1
H2-Bl,Klri2
H2-Bl,Clec2m
H2-Bl,Klre1
H2-Bl,Klri1
H2-Bl,Klrh1
H2-Q5,Klrd1
H2-Bl,Klrd1
Hmgb1,Sdc1
Hmgb1,Thbd
Hp,Itgam
Hp,Gm49368
Hp,Itgb2
Hras,Agtr1a
Hras,Agtr1b
Hras,Cav1
Hras,Grin2d
Hras,Insr
Hras,Tlr2
Hras,Tlr9
Hrg,Fcgr1
Hsp90aa1,Cftr
Hsp90aa1,Egfr
Hsp90aa1,Fgfr3
Hspg2,Col13a1
Hspg2,Itga2
Hspg2,Itgb1
Hspg2,Ptprs
Iapp,Ramp1
Iapp,Ramp2
Icam1,Egfr
Icam1,Il2ra
Icam1,Il2rg
Icam1,Gm20489
Icam2,Itgam
Icam2,Gm49368
Icam4,Itga2b
Icam4,Itga4
Icam4,Itgam
Icam4,Gm49368
Icam4,Itgav
Icam4,Itgb1
Icam4,Itgb3
Icam4,Rhag
Icam5,Itgal
Icam5,Itgb2
Igf2,Insr
Igfbp4,Fzd8
Igfbp4,Lrp6
Igfl3,Igflr1
Ihh,Boc
Ihh,Cdon
Ihh,Hhip
Ihh,Ptch1
Ihh,Ptch2
Il12a,Cd28
Il13,Il2rg
Il13,Gm20489
Il15,Il2ra
Il16,Cd4
Il16,Grin2c
Il16,Grin2d
Il16,Kcna3
Il16,Kcnd1
Il16,Kcnd2
Il16,Kcnj10
Il16,Kcnj15
Il16,Kcnj4
Il17b,Il17rb
Il18,Il1rapl1
Il18,Il1rl2
Il1b,Adrb2
Il22,Il10ra
Iltifb,Il10ra
Il22,Il22ra2
Iltifb,Il22ra2
Il2,Cd53
Il2,Ngfr
Il31,Il31ra
Il31,Osmr
Il4,Cd53
Il4,Il13ra2
Inha,Acvr2a
Inha,Tgfbr3
Inhba,Bambi
Inhba,Eng
Inhba,Tgfbr3
Inhbc,Acvr1
Inhbc,Acvr1b
Itgb3bp,Itgb3
Itgb3bp,Itgb5
Itih2,Fcer1a
Jag1,Notch1
Jag1,Notch2
Jag1,Notch3
Gm28040,Mmp24
Kiss1,Mmp24
Kitl,Epor
Kng1,Bdkrb2
Kng2,Bdkrb2
Kng1,Cd93
Kng2,Cd93
Kng1,Gp1ba
Kng2,Gp1ba
Kng1,Gpr135
Kng2,Gpr135
Kng1,Itgb2
Kng2,Itgb2
Kng1,Plaur
Kng2,Plaur
Kng1,Rxfp4
Kng2,Rxfp4
Krtap4-7,Aqp1
Gm11555,Aqp1
Krtap4-7,Catsper1
Gm11555,Catsper1
Krtap4-7,Cldn2
Gm11555,Cldn2
Krtap4-7,Cntfr
Gm11555,Cntfr
Krtap4-7,Lingo1
Gm11555,Lingo1
Krtap4-7,Pdgfrb
Gm11555,Pdgfrb
Krtap4-7,Plscr4
Gm11555,Plscr4
L1cam,Cntn1
L1cam,Egfr
L1cam,Erbb2
L1cam,Erbb3
L1cam,Itga5
L1cam,Itgav
Lama1,Itga1
Lama1,Itga2
Lama1,Itga7
Lama1,Itgb1
Lama1,Itgb8
Lama1,Nt5e
Lama1,Tmprss6
Lama2,Itga7
Lama2,Itgb1
Lama3,Sdc2
Lama5,Bcam
Lamb1,Itga6
Lamb1,Itgb1
Lamc2,Itga3
Lamc2,Itga6
Lamc2,Itgb1
Lamc2,Itgb4
Lcn2,Lrp2
Lefty1,Acvr2b
Lefty2,Acvr2b
Lgals3bp,Itgb1
Lin7c,Abca1
Lin7c,Htr2c
Lipc,Lrp1
Liph,Lpar1
Liph,Lpar2
Liph,Lpar4
5430401F13Rik,Lrp2
Gm6619,Lrp2
Lpl,Gpihbp1
Lpl,Lrp1
Lpl,Lrp2
Lpl,Sdc1
Lpl,Vldlr
Lrp1b,Plaur
Lrpap1,Ldlr
Lrpap1,Lrp1
Lrpap1,Lrp2
Lrpap1,Lrp8
Lrpap1,Sorl1
Lrpap1,Sort1
Lrpap1,Vldlr
Ltbp1,Itgb5
Ltbp3,Itgb5
Ltb,Cd40
Ltb,Tnfrsf1a
Ltf,Lrp1
Ltf,Lrp11
Ly86,Cd180
Madcam1,Cd44
Matn1,Itga1
Matn1,Itgb1
Mbl2,Calcr
Mbl2,Cd93
Mdk,Lrp2
Mdk,Sdc1
Mdk,Sdc3
Mdk,Sdc4
Mdk,Tspan1
Mfap2,Notch1
Mfap5,Notch1
Mfge8,Itgav
Mfge8,Itgb3
Mfge8,Pdgfrb
Mfng,Notch1
Mfng,Notch2
Mia,Cdh7
Gm21983,Cdh7
Mmp12,Plaur
Mmp13,Lrp1
Mmp1b,Cd44
Mmp1a,Cd44
Mmp1b,Itga2
Mmp1a,Itga2
Mmp2,Sdc2
Mmp7,Cd151
Mmp7,Cd44
Mmp7,Erbb4
Mmp9,Cd44
Mmp9,Ephb2
Mmp9,Lrp1
Myoc,Fzd1
Myoc,Fzd10
Myoc,Fzd3
Myoc,Fzd4
Myoc,Fzd7
Nampt,Insr
Ncam1,Fgfr1
Ncam1,Gfra1
Ncam1,Robo1
Ncam1,Robo3
Ndp,Fzd4
Ndp,Lgr4
Ngf,Sorcs3
Ngf,Sort1
Nid1,Col13a1
Nid1,Itgav
Nid1,Itgb3
Nid1,Ptprf
Nid2,Col13a1
Nlgn1,Nrxn1
Nlgn1,Nrxn2
Nlgn1,Nrxn3
Nlgn2,Nrxn1
Nlgn2,Nrxn2
Nlgn2,Nrxn3
Nlgn3,Nrxn1
Nlgn3,Nrxn2
Nlgn3,Nrxn3
Nmb,Brs3
Nmb,Grpr
Nodal,Acvr1c
Nodal,Acvr2a
Npnt,Itga8
Npnt,Itgb1
Npy,Fap
Npy,Mc4r
Npy,Npffr2
Npy,Npy1r
Npy,Npy2r
Npy,Npy5r
Npy,Prlhr
Nrg1,Erbb2
Nrtn,Gfra1
Ntf5,Ntrk1
Ntn1,Adora2b
Ntn1,Dcc
Ntn1,Neo1
Ntn1,Unc5a
Ntn1,Unc5b
Ntn1,Unc5c
Ntn1,Unc5d
Ntn4,Dcc
Ntn4,Unc5a
Ntng1,Lrrc4c
Ntng2,Lrrc4
Nts,Ntsr2
Nts,Sort1
Nxph1,Nrxn1
Nxph1,Nrxn2
Nxph1,Nrxn3
Nxph2,Nrxn1
Nxph3,Nrxn1
Nxph3,Nrxn2
Nxph3,Nrxn3
Olfm2,Robo2
Omg,Lingo1
Omg,Rtn4r
Omg,Rtn4rl1
Omg,Tnfrsf1b
Orm3,Ccr5
Orm1,Ccr5
Orm2,Ccr5
Oxt,Avpr1a
Oxt,Avpr2
Oxt,Oxtr
Pcsk9,Vldlr
Pdap1,Pdgfrb
Pdgfc,Kdr
Pdyn,Oprd1
Pdyn,Oprk1
Pdyn,Oprm1
Penk,Ogfr
Penk,Oprd1
Penk,Oprm1
Pgf,Nrp1
Pgf,Nrp2
Pigf,Flt1
Pip,Cd4
Pla2g10,Pla2r1
Plat,Lrp1
Plau,Igf2r
Plau,Lrp1
Plau,Lrp2
Plau,Plaur
Plau,St14
Plg,F2r
Plg,F2rl1
Plg,F3
Plg,Itga9
Plg,Itgb1
Plg,Plgrkt
Pltp,Abca1
Pmch,Mchr1
Pnoc,Oprl1
Podxl2,Sell
Pomc,Oprd1
Pomc,Oprk1
Pomc,Oprm1
Pon2,Htr2a
Prss23,Tmem222
Psap,Celsr1
Psap,Lrp1
Psen1,Ncstn
Psen1,Notch1
Psen1,Notch2
Psen1,Notch3
Pspn,Gfra1
Ptdss1,Jmjd6
Ptdss1,Scarb1
Ptgs2,Cav1
Ptgs2,Ptgdr2
Pth2,Pth1r
Pth2,Pth2r
Ptma,Vipr1
Ptn,Cdh10
Ptn,Ptprb
Ptn,Sdc1
Ptn,Sdc3
Pyy,Fap
Pyy,Npy5r
Qrfp,P2ry14
Rarres2,Ccrl2
Rbp4,Stra6
Reln,Itga3
Reln,Itgb1
Reln,Lrp8
Reln,Vldlr
Ren1,Atp6ap2
Rgma,Neo1
Rgmb,Neo1
Rims1,Cacna1c
Rims2,Abca1
Rnase2a,Tlr2
Ear14,Tlr2
Rnase2b,Tlr2
Ear6,Tlr2
Ear2,Tlr2
Ear1,Tlr2
Ear10,Tlr2
Rph3a,Nrxn1
Rps19,C5ar1
Rspo1,Lrp6
Rspo1,Znrf3
Rspo3,Fzd8
Rspo3,Lrp6
Rspo3,Sdc4
Rtn4,Cntnap1
Rtn4,Lingo1
Rtn4,Rtn4r
Rtn4,Tnfrsf19
S100a8,Tlr4
Gm5849,Tlr4
Scgb1a1,Lmbr1l
Scgb1a1,Lrp2
Scgb3a2,Marco
Sct,Vipr2
Selplg,Sele
Sema3a,Nrp2
Sema3b,Nrp1
Sema3b,Nrp2
Sema3c,Nrp1
Sema3c,Plxnd1
Sema3d,Nrp1
Sema3f,Nrp1
Sema3f,Plxna3
Sema3g,Nrp2
Sema4a,Plxnd1
Sema4b,Dcbld2
Sema4c,Plxnb2
Sema4d,Cd72
Sema4d,Erbb2
Sema4d,Met
Sema4d,Plxnb1
Sema4d,Plxnb2
Sema4f,Nrp2
Sema4g,Plxnb2
Sema5a,Met
Sema6a,Plxna2
Sema6a,Plxna4
Sema6d,Kdr
Sema6d,Plxna1
Sema6d,Trem2
Sema6d,Tyrobp
Sema7a,Itga1
Sema7a,Itgb1
Serpina1a,Lrp1
Serpina1d,Lrp1
Serpina1b,Lrp1
Serpina1e,Lrp1
Serpina1c,Lrp1
Serpina7,Slc16a2
Serpinc1,Lrp1
Serpinc1,Sdc2
Serpine1,Lrp1
Serpine1,Lrp2
Serpine2,Lrp1
Serping1,Lrp1
Serping1,Sele
Serping1,Selp
Sfrp1,Fzd2
Sfrp1,Fzd6
Shbg,Cd177
Shbg,Cldn4
Shbg,Slc37a1
Shh,Boc
Shh,Cdon
Shh,Gpc5
Shh,Hhip
Shh,Lrp2
Shh,Ptch1
Shh,Ptch2
Shh,Smo
Slit1,Gpc1
Slit1,Robo1
Slit1,Sdc1
Slit2,Gpc1
Slit2,Robo1
Slit2,Robo2
Slit2,Robo4
Slit2,Sdc1
Slit3,Robo2
Sorbs1,Insr
Sost,Lrp5
Sost,Lrp6
Spink1,Egfr
Spink1,Nrsn1
Spint1,St14
Spp1,Itga5
Spp1,S1pr1
Sst,Sstr1
Sst,Sstr2
Sst,Sstr3
Sytl3,Nrxn1
Tac1,Tacr1
Tac1,Tacr2
Tac1,Tacr3
Tac2,Tacr1
Tac2,Tacr2
Tac2,Tacr3
Tctn1,Tmem67
Tdgf1,Acvr1b
Tdgf1,Acvr1c
Tdgf1,Acvr2a
Tfpi,Lrp1
Tfpi,Vldlr
Trf,Tfr2
Trf,Tfrc
Tgfa,Erbb2
Tgfa,Erbb4
Tgfb1,Acvrl1
Tgfb1,Eng
Tgfb1,Itgb8
Tgfb1,Sdc2
Tgfb2,Eng
Tgfb3,Acvrl1
Tgfb3,Eng
Tgm2,Itgb1
Tgm2,Itgb3
Tgm2,Sdc4
Tg,Asgr1
Tg,Lrp2
Thbs1,Cd36
Thbs1,Cd47
Thbs1,Itga4
Thbs1,Itga6
Thbs1,Lrp1
Thbs1,Lrp5
Thbs1,Sdc1
Thbs1,Tnfrsf11b
Thbs2,Cd47
Thbs2,Itga4
Thbs2,Itga6
Thbs2,Itgb1
Thbs2,Notch3
Timp1,Cd63
Timp2,Itga3
Timp2,Itgb1
Timp3,Kdr
Tnc,Cntn1
Tnc,Egfr
Tnc,Itga5
Tnc,Itga7
Tnc,Ptprb
Tnfsf10,Tnfrsf11b
Tnfsf11,Tnfrsf11b
Tnfsf12,Tnfrsf25
Tnfsf13,Sdc2
Tnfsf13,Tnfrsf11b
Tnfsf4,Traf2
Tnfsf9,Traf2
Tnf,Tnfrsf21
Tnf,Traf2
Ucn2,Crhr1
Ucn2,Crhr1
Ucn2,Il10rb
Ucn2,Gm21970
Ucn3,Crhr1
Ucn3,Crhr1
Ucn3,Il10rb
Ucn3,Gm21970
Ucn,Crhr1
Ucn,Crhr1
Vasp,Cxcr2
Vcan,Cd44
Vcan,Egfr
Vcan,Itga4
Vcan,Itgb1
Vcan,Selp
Vcan,Tlr2
Vegfa,Ephb2
Vegfa,Gpc1
Vegfa,Nrp1
Vegfb,Nrp1
Vegfc,Nrp2
Vegfc,Vipr2
Vim,Cd44
Vip,Adcyap1r1
Vip,Sctr
Vip,Vipr2
Vtn,Itga5
Vtn,Itga8
Vtn,Itgb6
Vtn,Itgb8
Vtn,Plaur
Vtn,Pvr
Vtn,Tnfrsf11b
Vwf,Itga2b
Vwf,Tnfrsf11b
Wnt11,Fzd7
Wnt1,Fzd3
Wnt1,Fzd9
Wnt1,Lrp5
Wnt1,Lrp6
Wnt2,Fzd1
Wnt2,Fzd5
Wnt2,Fzd7
Wnt2,Fzd8
Wnt3a,Apcdd1
Wnt3a,Fzd5
Wnt3a,Fzd6
Wnt3a,Fzd7
Wnt3a,Lrp1
Wnt3a,Lrp6
Wnt3,Fzd1
Wnt3,Fzd8
Wnt3,Lrp6
Wnt3,Ryk
Wnt4,Fzd2
Wnt5a,Fzd4
Wnt5a,Fzd7
Wnt5a,Fzd8
Wnt5a,Lrp5
Wnt5a,Mcam
Wnt5a,Ror2
Wnt5a,Ryk
Wnt7a,Fzd10
Wnt7a,Fzd9
Wnt7b,Lrp5
Yars,Cxcr1
